ID;Nom startup;description fr;description en;web;creation;Dirigeants;Nbr employes;employeesref;Code postal;Région;Logo;A levé des fonds;Souhaite levé des fonds;Récompensé;enregistré le;Id video youtube;internationale;Pays;facebook;twitter;linkedin;type;filter_types_1;filter_types_2;filter_types_3;filter_clients_1;filter_clients_2;filter_clients_3;filter_clients_4;filter_clients_5;filter_clients_6;filter_services_1;filter_services_2;filter_services_3;filter_services_4;filter_services_5;filter_services_6;filter_services_7;filter_services_8;filter_services_9;filter_secteurs_1;filter_secteurs_2;filter_secteurs_3;filter_tech_1;filter_tech_2;filter_tech_3;filter_tech_4;filter_tech_5;filter_tech_6;filter_tech_7;filter_tech_8;filter_tech_9;filter_tech_10;filter_tech_11;filter_tech_12;filter_tech_13;users_1;users_2;users_3;users_4;users_5;users_6;users_7;users_8
2;1to1PROGRESS;Organisme de formation linguistique à distance en blended learning, éditeur d'une plateforme d'apprentissage, destinée aux entreprises, particuliers et école de langues.;French training organism specialized in linguistic remote blended training via phone/visio, elearning and virtual classes, proprietary LMS for corporates and training schools.;1to1progress.com;2011;Laurent Zalc, Jonathan Ways;1-5;4;75014;IDF;uploads/logo/1to1progress_logo.jpg;1;0;0;2018-02-16 15:24:14;;;;;;https://fr.linkedin.com/in/jonathanways;Start-up/PME;;Start-up/PME;;;Entreprises;;Organismes de formation;Services publics ou associations;;Outils de gestion pour enseigner et former;;Formation à des compétences techniques;Formation académique;;;;;;;;Formation tout au long de la vie;;;Solutions de distribution;;Learning Management System / CMS;;;;;;;;;;;;;;Particuliers;Individus en emploi;Individus en reconversion ou sans emploi
3;360Learning;Créez et diffusez rapidement vos cours, en ligne et sur mobile, avec de multiples interactions humaines engageantes dans les parcours d'apprentissage.;Quickly create and send online courses with engaging and fun human interactions;http://360learning.com;2010;Nicolas Hernandez, Guillaume Alary, Sébastien Mignot;41 — 80;5;75008;IDF;uploads/logo/360learning_logo.jpg;1;0;0;2018-02-16 15:24:14;;0;;;;https://www.linkedin.com/in/nicoconut;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;Organismes de formation;;;;;;;;;;;Autres;;;Formation tout au long de la vie;Contenus innovants;;Solutions de distribution;Adaptive learning;Learning Management System / CMS;Social media / outils de collaboration;Plateforme d'agrégation et distribution de services;;Blended learning;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;Particuliers;;
4;3W Academy;formation au métier de développeur;We train web developpers;https://3wa.fr;2012;Djamchid Dalili;1-5;3;75018;IDF;uploads/logo/3w academy_logo.jpg;1;0;1;2018-02-16 15:24:15;;;;;;https://fr.linkedin.com/in/dalili;Start-up/PME;;Start-up/PME;;;;Particuliers;Organismes de formation;;;;Formation à des compétences numériques;Formation à des compétences techniques;Formation académique;;;;;;;;Formation tout au long de la vie;;;Solutions de distribution;;;;;;Blended learning;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;Particuliers;;Individus en reconversion ou sans emploi
6;Academyk;La mission d’Academyk est de développer les connaissances et compétences grâce au microlearning, une modalité de formation en ligne en séquence courte de quelques minutes, utilisant texte, images et sons.;Academyk's mission is to develop knowledge and skills through microlearning, an online training modality in a short sequence, using text, images and sound;academyk.org;2015;Julien Andre;1-5;1;75003;IDF;uploads/logo/academyk_logo.jpg;1;0;1;2018-02-16 15:24:15;;;;;;https://www.linkedin.com/in/julienandre/;Start-up/PME;;Start-up/PME;;;Entreprises;;;;;;Formation à des compétences numériques;Formation à des compétences techniques;;;;Services pour publics à besoins éducatifs particuliers ;;;;Enseignement Supérieur;Formation tout au long de la vie;Contenus innovants;;Solutions de distribution;;;;;;;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;Particuliers;;
7;Adways SAS;Adways a développé, entre autres, une plateforme d'enrichissements des vidéos en ligne. Elle permet aux concepteurs de MOOC de repenser intégralement leurs cours en ligne. Nos clients principaux : FUN-MOOC, CNED, IFCAM;Adways has invented a SaaS platform that allows any MOOC creator to enrich his online courses. Our main clients : FUN-MOOC, CNED, IFCAM;adways.com;2011;Jacques CAZIN, David Thibault, Fabrice Jaeger;1-5;3;69003;ARA;uploads/logo/adways_logo.jpg;0;1;1;2018-02-16 15:24:15;;;;https://www.facebook.com/adways.sas/;https://twitter.com/Adways_SAS;;Start-up/PME;;Start-up/PME;;;Entreprises;;;Services publics ou associations;;;Formation à des compétences numériques;;;;;;;;;;Formation tout au long de la vie;Contenus innovants;;;Adaptive learning;;;;Technologies de back / middle office, connections;;;;;;;;;;Établissement et professionnels de l'enseignement;;;
8;AGT DiGiTAL;AGT DiGiTAL a élaboré la première application de formation à un métier manuel, la coiffure, en 3D, sur mobile,  HAIR TEACH 3D qui permet de faire et refaire le geste métier, de le comprendre et de le mémoriser.  Pionnier sur ce marché vierge d'innovation numérique, notre objectif est de rendre la pratique accessible à tous: Une formidable opportunité de leadership international.;AGT DiGiTAL has developed the first training App for a manual craft, hairdressing, in 3D, on mobile, HAIR TEACH 3D which allow to make and repeat the professional gesture, to understand it and memorize it. Pioneering this virgin digital innovation market, our goal is to make the practice-by-doing accessible to all: A tremendous opportunity for international leadership.;http://www.agtdigital.com;2013;Bruno Gaumétou, Robert Topolovac, Damien Ancinelle;1-5;1;95880;IDF;uploads/logo/agtdigital_logo.jpg;0;1;1;2018-02-16 15:24:16;;;;http://www.facebook.com/agtdigital/?fref=ts;https://twitter.com/HairTeach3D;bruno-gaumetou;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;Particuliers;Organismes de formation;;;;;Formation à des compétences techniques;;;;;;;;;Formation tout au long de la vie;Contenus innovants;;;;;;;;;;Réalite virtuelle / augmentée;;;;;;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;;Individus en emploi;Individus en reconversion ou sans emploi
9;aimaira;"aimaira est un ERP conçu pour l’enseignement supérieur, créé par des professionnels des métiers de l’Education. 

Il couvre tous les besoins de l’Etablissement : de la candidature à la diplômation, que l’apprenant soit étudiant, apprenti ou en contrat de professionnalisation, dans les domaines pédagogique, administratif et financier. 

Il est commercialisé en mode SaaS, ce qui assure une maîtrise parfaite de son coût. 

Il est hébergé dans Azure de Microsoft, garantie d'une très haute sécurité";"aimaira est un ERP conçu pour l’enseignement supérieur, créé par des professionnels des métiers de l’Education. 

Il couvre tous les besoins de l’Etablissement : de la candidature à la diplômation, que l’apprenant soit étudiant, apprenti ou en contrat de professionnalisation, dans les domaines pédagogique, administratif et financier. 

Il est commercialisé en mode SaaS, ce qui assure une maîtrise parfaite de son coût. 

Il est hébergé dans Azure de Microsoft, garantie d'une très haute sécurité";https://www.aimaira.fr;2015;Jean Dufranne, Isabelle Geneste, Stéphane Henry;11-20;2;75016;IDF;uploads/logo/aimaira_logo.jpg;1;0;0;2018-02-16 15:24:16;;0;France;;https://twitter.com/aimaira_erp;https://www.linkedin.com/company/aimaira;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;;;;;Outils de gestion pour enseigner et former;;;;;;;;;;Enseignement Supérieur;;;;;;;;;Technologies de back / middle office, connections;;;;;;;;Étudiants;;Établissement et professionnels de l'enseignement;;;
10;albert académie;albert académie propose du contenu e-learning sur les grands thèmes du management (leadership, innovation, stratégie, RH, développement personnel, etc.) aux entreprises françaises. ;albert académie provides french companies e-learning content on management topics such as leadership, innovation, strategy, personal growth, etc. ;https://www.albert-academie.com;2015;Gabriel Jarrosson, Bruno Jarrosson;1 — 5;1;92270;IDF;uploads/logo/albertacademie_logo.jpg;0;0;1;2018-02-16 15:24:16;;0;;http://facebook.com/albertacademie;https://twitter.com/albertacademie;https://www.linkedin.com/in/gabrieljarrosson;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;Organismes de formation;;;;Formation à des compétences numériques;Formation à des compétences techniques;Formation académique;;;;;;;;Formation tout au long de la vie;Contenus innovants;;Solutions de distribution;;Learning Management System / CMS;;;;;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;Particuliers;Individus en emploi;Individus en reconversion ou sans emploi
11;Alcuin;Nous sommes éditeurs de solutions logicielles SaaS. Nos solutions s'adressent aux établissements d'enseignement et de formation qui souhaitent digitaliser la gestion de la formation et optimiser leurs activités. Nous vous accompagnons dans la transformation digitale de vos processus métiers (administratif, pédagogique, planification, financier et pilotage) avec une solution ERP complète.;Alcuin provides SaaS software solutions. Our Human Capital Management and Training Management solutions combine operational efficiency, strategic valuation and state of the art technologies.;http://www.alcuin.com;2013;"Laurent Balaine, Président et Fondateur
Hervé Dubois, Directeur Général Adjoint
Jacques Levy, Directeur Général Adjoint";81-100;5;49070;PDLL;uploads/logo/alcuin_logo.jpg;1;1;0;2018-02-16 15:24:17;;1;Belgique , France , Maroc , Nouvelle-Calédonie , États-Unis;https://www.facebook.com/alcuinsoft/;https://twitter.com/alcuinsoft;;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;;Organismes de formation;;;Outils de gestion pour enseigner et former;;;;Services aux familles et étudiants;;;;;;Enseignement Supérieur;Formation tout au long de la vie;;;;;Learning Management System / CMS;;;Technologies de back / middle office, connections;;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;;;
12;ALTERNATIVE DIGITALE;"Alternative Digitale a mis au point DiGiTT, le premier test de mesure des connaissances et compétences digitales, au service des entreprises et organisations.
DiGiTTvalue les forces et les points d'amélioration de ces organisations, afin qu'elles pilotent en toute confiance leur transformation.
La méthodologie myDiGiTT se décline en trois phases:
	Le diagnostic DiGiTT
Un parcours de formation associées (issu de votre catalogue ou de nos partenaires) et une digithèque.
Le certificat DiGiTT.";"Alternative Digitale provides your workforce with an on-line test aimed at ranking their digital knowledge and competence that anonymously assesses them in a secure environment to help you measure their strengths and training needs.
 A real Enterprise HR Planning tool that enables you to accurately appraise competence development and guarantee that your workforce have started the programme";http://alternativedigitale.com/;2014-01-01 00:00:00;Anne-Laure Vincent;1-5;1;75010;IDF;uploads/logo/alternativedigitale_logo.jpg;0;1;1;2018-02-16 15:24:17;;;;https://www.facebook.com/mydigitt/;https://twitter.com/mydigitt;https://www.linkedin.com/in/annelaurevincent/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;Particuliers;;;;;Formation à des compétences numériques;;;;;Services pour publics à besoins éducatifs particuliers ;;;;Enseignement Supérieur;Formation tout au long de la vie;Contenus innovants;;;;;;;;;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;;Particuliers;Individus en emploi;
